Title,Abstract,Authors,digitalObjectIdentifier,research tool
Computer Assisted Proofs and Automated Methods in Mathematics Education,"This survey paper is an expanded version of an invited keynote at the ThEdu'22 workshop, August 2022, in Haifa (Israel). After a short introduction on the developments of CAS, DGS and other useful technologies, we show implications in Mathematics Education, and in the broader frame of STEAM Education. In particular, we discuss the transformation of Mathematics Education into exploration-discovery-conjecture-proof scheme, avoiding usage as a black box . This scheme fits well into the so-called 4 C's of 21st Century Education. Communication and Collaboration are emphasized not only between humans, but also between machines, and between man and machine. Specific characteristics of the outputs enhance the need of Critical Thinking. The usage of automated commands for exploration and discovery is discussed, with mention of limitations where they exist. We illustrate the topic with examples from parametric integrals (describing a ""cognitive neighborhood"" of a mathematical notion), plane geometry, and the study of plane curves (envelopes, isoptic curves). Some of the examples are fully worked out, others are explained and references are given.",Thierry Noah Dana-Picard,10.4204/EPTCS.375.2,ProQuest
Agrotechnical indicators of working bodies for tillage of fallow fields in summer,"The article discusses the options of working bodies for tillage of steam fields in the summer. These studies are aimed at obtaining agrotechnical indicators of the technological process of tillage of steam fields. In particular, the design of the working body in the form of a flat one-sided paw is proposed. Laboratory and field studies were carried out to determine the qualitative indicators of the technological process of fine tillage, with all variants of working bodies. During the research, such indicators were established as: the optimal (recommended) speed of the unit, the depth of tillage by working bodies, the width of the unit (working), the average square deviation in the depth of processing and the width of the grip. The aggregate composition of the soil was assessed by fractions, the content of erosive-hazardous particles before and after the passage of the unit, pruning or destruction of weeds and the ridge of the field surface after the passage of the unit. Data on the dynamics of soil moisture after several treatments of steam fields with various variants of working bodies were obtained. As a result of the research, it was found that the working body in the form of a flat one-sided paw, in comparison with the working body of a serial steam cultivator, allows to reduce the depth of processing by 1.6 cm (up to 5.2 cm), to reduce the value of the combiness of the treated surface by 2.4-3.4 cm, while ensuring complete pruning of weeds both annual and perennial. The variants of working bodies considered in the article for processing steam fields in the summer and the studies carried out to determine their quality indicators will allow creating machine-technological units for promising mechanized technologies of tillage in arid agriculture.","Kambulov, S I;Rykov, V B;Bozhko, I V;Podlesniy, D S;Chikrizova, V B;Ivanova, T A",10.1088/1755-1315/1154/1/012050,ProQuest
Insights from bauhaus innovation for education and workplaces in a post-pandemic world,"This paper examines Bauhaus School (1919–1933) innovation and relevance today. The School is a landmark in the history of design as a discipline and the development of design education. The School was also a workplace, commercialising Bauhaus-designed products. While drawing global interest in its innovations, the School faced resistance in Germany because it challenged conventions. This problem raises the questions: How did the School-workplace generate innovations amid the calamity of post-war Germany, and what is the significance of the Bauhaus for post-pandemic education and workplaces one hundred years on? The concept of ‘transgression’ is used to understand innovation at the Bauhaus School-workplace. Haraway discusses transgressive practices that disrupt established knowledges, moving ways of thinking and doing in new directions. Analysis of workplace learning research reveals that three interfacing dimensions make up innovation: (1) workplace environments, (2) the culture-order that facilitates innovation, and (3) learning in practice in authentic settings. This qualitative case study reports on how Bauhaus innovation emerged at the intersection of these key dimensions. There are surprising commonalities between the Bauhaus approach to innovation in challenging times and contemporary thinking about supporting innovation which are relevant to education, particularly STEAM (Science, Technology, Engineering, Arts and Mathematics) education, and workplaces in a world affected by the COVID 19 pandemic. Thus, encouraging people who challenge boundaries, rules or ‘the way things are’ can support innovation. This paper addresses a gap in workplace learning research on interrelated dimensions of innovation which the Bauhaus recognized. The study also offers an innovative approach to&#xa0;the examination of innovation across time and space whereas most contemporary studies of innovation focus on the present. Further, conceptualizing innovation as transgression offers a new way of thinking about innovation in design and in the workplace.","White-Hancock, Lorraine",10.1007/s10798-022-09729-2,ProQuest
"RISING Strong: Sustainability through Art, Science, and Collective Community Action","The objective of this research is to offer a qualitative analysis of adult STEAM (science, technology, engineering, the arts and mathematics) learning in a community setting, with a focus on sustainability and climate action. To date, much research on STEAM learning has been directed towards youth and children in formal educational settings. Our qualitative study involving semi-structured interviews with community participants, artists, and scientists over the course of a six-month initiative in Ireland allowed us to develop a rich picture of a multi-faceted STEAM project that held space for both a social change agenda and a learning agenda. In our findings, we identified several contributing factors to transformative learning and changed feelings about climate change, including pride of place, the development of strong interpersonal relationships, and an emerging sense of collective agency through a shared emotional and affective journey. To design for meaningful, community-level climate action, we argue that learning may be supported in, with and through STEAM. Our study also showcases the value of the arts and aesthetic experiences to embrace dissensus when tackling a complex issue like climate change through STEAM education.","Hurley, Mairéad;Roche, Joseph",10.3390/su152014800,ProQuest
Multi-Walled CNTs/BiVO<sub>4</sub> Heterostructures for Solar-Driven Evaporation System and Efficient Photocatalytic Activity against Oxytetracycline,"Developing a sustainable environment requires addressing primitive water scarcity and water contamination. Antibiotics such as oxytetracycline (OTC) may accumulate in the environment and in the human body, increasing the risks to the ecosystem. The treatment of polluted water and the production of potable water can be achieved in a variety of ways, including photodegradation, solar distillation, and filtration. Freshwater supplies can be increased by implementing energy-efficient technologies for the production of clean water. Solar water evaporation combined with photocatalytic degradation and sterilization offers a promising avenue for integration into the clean water and energy production fields. The present study reports the synthesis of a 3D solar steam generator comprised of BiVO 4 and carbon nanotubes (CNT) nanocomposite decorated over a cigarette filter as the light-to-heat conversion layer for solar steam generation. The BiVO 4 @CNT-based 3D solar evaporator over the hydrophilic cellulosic fibers of the cigarette filter endowed excellent evaporation rates (2.36 kg m −2 h −1 ) under 1 kW m −2 solar irradiation, owing to its superior hydrophilicity and broadband solar absorption (96%) equipped with localized heating at microscale thermal confinement optimized by the minimum thermal conductivity of the overall system. Furthermore, the BiVO 4 @CNT composite exhibited a heightened photo activity up to 83% of the photodegradation of oxytetracycline (OTC) antibiotic due to the inhibition of charge recombination from the industrial effluents. This approach transforms the water-energy nexus into a synergistic bond that offers opportunities to meet expected demand, rather than being competitive.","Alomar, Muneerah;Arshad, Naila;Muhammad Sultan Irshad;Abdelmohsen, Shaimaa A M;Ahmed, Iftikhar;Alhoshani, Nawal;Alqarni, Areej S",10.3390/nano13202764,ProQuest
Is There Deep Learning on Mars? STEAM Education in an Inquiry-Based Out-of-School Setting,"Learning intervention based on a ""Mars and Space"" exhibition was designed according to STEAM-education (Science, Technology, Engineering, Art and Mathematics) principles and practices in order to bridge the gap between formal and informal learning. The cognitive learning of 12-year-old students in Finland (""N"" = 306) showed a sustained level for a six months period. The results of this study provided evidence that situational motivation was enhanced by interest in school science in the STEAM science exhibition context. This led to better cognitive learning results in the post-knowledge test. Thus, interest and situational motivation were the first steps, and the superficial situational motivation seemed to successfully change into content-based intrinsic motivation with longer-lasting, deep learning outcomes. STEAM intervention apparently produced long-term learning, and this exhibition learning setting is shown to provide an appropriate platform to reach the deeper layers to successfully retain knowledge. Boys' scores rose even in the delayed test. Using structural equation modelling (SEM) to assess the effects on individual, motivational and situational interest in learning, situation motivation is shown to work as a catalyst and acting as a catalyst and also acted as a stepping stone for intrinsic motivation as part of relative autonomy (RAI) and a deep learning strategy.","Salmi, Hannu S.;Thuneberg, Helena;Bogner, Franz X.",10.1080/10494820.2020.1823856,ProQuest
Using Direct Solar Energy Conversion in Distillation via Evacuated Solar Tube with and without Nanomaterials,"As is widely known, the issue of freshwater scarcity affects practically all people, and all are looking for innovative and workable ways to attempt to solve this issue. In this work, a novel method of desalination is proposed. The proposed system consists of a solar collector (PTSC), evacuated pipe (EP), condenser (CU), and separation unit (SU). The working principle of the system is heating the feed saline water using the PTSC and EP and controlling the water flow rate to control the output conditions of the EP. The produced vapor is therefore separated from salty water using the SU. In addition, the generated steam is condensed into the CU to produce a freshwater distillate. Consequently, the effect of solar radiation on the affecting temperatures was tested. In addition, the effect of using different water flow rates (6, 7.5, 10, 20, 40, and 60 L/h) inside the EP on the system productivity was investigated. The primary findings of this work may be highlighted in relation to the experiments conducted. At midday, when ultraviolet irradiance reached its highest, the EP’s water flow entrance and outflow had the largest temperature differential. In addition, the lower the water flow rate inside the EP, the higher the water temperature, the higher the evaporation rate of the system, and the greater the freshwater productivity of the system. At 6 L/h, the water’s highest temperature was 92 °C. Moreover, the best performance of the system was obtained at 7.5 L/h, where the freshwater production and average daily effectiveness of the distillate process were 44.7 L/daytime and 59.6%, respectively. As well, the productivity of EP was augmented by around 11.86% when using graphite nanoparticles. Additionally, the distilled freshwater from the system operating at the flow rate of 7.5 L/h costs 0.0085 $/L.","Saleh, Bahaa;Essa, Fadl A;Omara, Zakaria M;Ahmed, Mohamed H;El-Sebaey, Mahmoud S;Mogaji Taye Stephen;Lingala Syam Sundar;Qasim, Mohammed A;Ramana, Eskilla Venkata;Shanmugan, Sengottiyan;Elsheikh, Ammar H",10.3390/pr11061734,ProQuest
Overview of Solar Steam Devices from Materials and Structures,"The global shortage of freshwater supply has become an imminent problem. The high energy consumption of traditional desalination technology cannot meet the demand for sustainable energy development. Therefore, exploring new energy sources to obtain pure water has become one of the effective ways to solve the freshwater resource crisis. In recent years, solar steam technology which utilizes solar energy as the sole input source for photothermal conversion has shown to be sustainable, low-cost, and environmentally friendly, providing a viable low-carbon solution for freshwater supply. This review summarizes the latest developments in solar steam generators. The working principle of steam technology and the types of heating systems are described. The photothermal conversion mechanisms of different materials are illustrated. Emphasis is placed on describing strategies to optimize light absorption and improve steam efficiency from material properties to structural design. Finally, challenges in the development of solar steam devices are pointed out, aiming to provide new ideas for the development of solar steam devices and alleviate the shortage of freshwater resources.","Liu, Chang;Yin, Zhenhao;Hou, Yue;Yin, Chengri;Yin, Zhenxing",10.3390/polym15122742,ProQuest
Design and Performance Analysis of a Novel Integrated Solar Combined Cycle (ISCC) with a Supercritical CO<sub>2</sub> Bottom Cycle,"The integrated solar combined cycle (ISCC) system is a proven solution for grid-connected power generation from solar energy. How to further improve the ISCC system efficiency and propose a more efficient system solution has become a research focus. A novel gas turbine combined cycle (GTCC) benchmark system is proposed by replacing the conventional steam Rankine bottom cycle with a supercritical CO 2 Brayton cycle, whose output power and efficiency are increased by 9.07 MW and 1.3%, respectively, compared to those of the conventional GTCC system. Furthermore, the novel ISCC systems are established with the parabolic trough solar collector (PTC) and the solar tower (ST) collector coupled to the novel GTCC system. Thermal performance analysis, exergy performance analysis, and the sensitivity analysis of the ISCC systems have been performed, and the results show that the system efficiencies of both ISCC systems are lower than that of the GTCC system, at 57.1% and 57.5%, respectively, but the power generation of the ISCC system with PTC is greater than that of the benchmark system, while that of the ISCC system with ST is less than that of the benchmark system. The photoelectric efficiency of the ISCC system with PTC is 27.6%, which is 2.1% greater than that of ISCC system with ST. In the ISCC system with PTC, the components with the highest exergy destruction and the lowest exergy efficiency are the combustion chamber, and PTC, respectively. ST is the component with the highest exergy destruction and the lowest exergy efficiency in the ISCC system with ST. With the increase in direct normal irradiance (DNI), the total output power, solar energy output power, and photoelectric efficiency of the ISCC system with PTC increase, while the system efficiency decreases; the solar energy output power and photoelectric efficiency of the ISCC system with ST increase, while the total output power and system efficiency decrease. The photoelectric efficiency of the ISCC system with PTC is greater when the DNI is greater than 600 W/m 2 ; conversely, the photoelectric efficiency of the ISCC system with ST is greater. After sensitivity analysis, the optimal intercooler pressure for the ISCC system is 11.3 MPa.","Zhang, Zuxian;Duan, Liqiang;Wang, Zhen;Ren, Yujie",10.3390/en16124833,ProQuest
Normalizing Black Students/Youth and Their Families' Digital and STEAM Literacies,"Due to the paucity of research that focuses on the digital and STEAM literacy practices of Black students and youth and their families in home and community spaces, this article acts as a call for awareness to understand the already-existing digital practices that acknowledges and honors their racial, cultural, and social lives. Lewis Ellison addresses four primary questions that K-12 teachers must be aware of concerning Black parents, students and youth in digital and STEM spaces: Why are Black Students'/Youth and Families' Digital Literacy Practices important? What can we learn from Black Parents' Narratives about their Children's Digital and STEAM Literacies? What do Black Students/Youth Wish their Teachers Knew about Them? What Should Digital and STEM Literacy Practices Look Like for Black Students/Youth? These questions are important when thinking about Black students' and youth's digital literacy learning and proficiencies because as the education and political world keeps changing, they need digital literacy skills for every area of their lives. Once we understand the roles we play in centering their lives and practices, then we can advance teacher education, and then we can begin a discussion to normalize Black students and their families' digital and STEAM literacies and practices.","Lewis Ellison, Tisha",10.1002/trtr.2182,ProQuest
Study on the Selection of Single-Screw Steam Compressors in Industrial Steam Supply,"Both direct and indirect heating compression methods were proposed to satisfy the requirement of industrial steam compression and supply. The compression process in a single-screw compressor was analyzed with the determination of different inlet and outlet boundary conditions. Considering the misalignment of meshing pairs caused by the offset of the star wheel axis and screw origin, the differential expansion of the vertical meshing pair was further analyzed. The inner ring of the sealing end face, the wall of the inner ring of the bearing at the inlet and outlet ends, and the bottom surface of the bracket were analyzed by different coordinate systems and different constraints, thus facilitating the design and selection of the single screw. The critical point for the design of a steam-type single-screw compressor is an outlet temperature of 350 °C and an outlet volume flow rate of 130 m 3 /min. At a flow rate of 130 m 3 /min, when the temperature exceeds 350 °C, the reliability of the compressor is still limited, and the differential expansion of the meshing pair exceeds 0.3 mm. In addition, superheating of steam can be improved by applying a centrifugal compressor with cascade compression and centrifugal compression in conjunction with reflux adjustment at the compression outlet.","Zhang, Pan;Ke, Xiwei;Wang, Weiliang;Tang, Xueyu;Lyu, Junfu;Tang, Qinghong",10.3390/en16104199,ProQuest
A novel dual feedwater circuit for a parabolic trough solar power plant,"The validated dynamic model of a parabolic trough power plant (PTPP) is improved by the combination of a new feedwater circuit (feedwater/HTF circuit) and a reference feedwater circuit (feedwater/steam circuit) as well as the development of the steam turbine model. Such design represents the first effort of research to utilize a dual feedwater circuit inside the PTPP to increase the power output in the daylight from 50 to 68 MW el and raise night operating hours at a lower cost. The purpose of increasing the operating night hours at a power (48 MW el ) as in the reference PTPP is to get rid of the fossil fuel backup system and rely only on the absorbed solar energy and the stored energy in the molten salt. During daylight hours, the feedwater circuit is operated using Feedwater/HTF. In the transient period, the feedwater/HTF circuit will gradually be closed due to a decrease in solar radiation. Furthermore, the rest of the nominal feedwater mass flow rate (49&#xa0;kg/s) is gradually replenished from the feedwater/steam circuit. After sunset, the entirety of the feedwater is heated based on the steam extracted from the turbine. The purpose of this improvement is to raise the number of nightly operational hours by reducing the nominal load from 61.93 to 48&#xa0;MW el as a result of low energy&#xa0;demand during the evening hours. Therefore, a comparison study between the reference model and this optimization&#xa0;(optimization&#xa0;2) is conducted for clear days (26th–27th/June and 13th–14th/July 2010) in order to understand the influence of dual feedwater circuit. The comparison indicates that the operational hours of the power block (PB) will be obviously increased. Moreover, this improvement reduces based on the fossil fuel system at night. As the last step, an economic analysis was performed on the costs of the referenced and the optimized PTPP as a function of the levelized energy cost (LEC). The results illustrate that the specific energy cost of a PTPP with 7.5&#xa0;h of storage capacity is lowered by about 14.5% by increasing the output of the PTPP from 50 to 68 MW el .","Al-Maliki, Wisam Abed Kattea;Alsaedi, Sajda S.;Khafaji, Hayder Q. A.;Alobaid, Falah;Epple, Bernd",10.1038/s41598-023-33829-1,ProQuest
An Experimental Study on the Implementation of a STEAM-Based Learning Module in Science Education,"Over the last decade, there has been notable academic interest in the multidisciplinary studies of science education with the emergence of STEAM. Accordingly, this study aimed to conduct an experimental study to explore the effectiveness of a STEAM-based space-themed learning module in science education taught to primary school students. The sample of the study was 6th- and 7th-grade students from the Central Anatolia Region of Turkiye. The experimental group consisted of 180 students, whereas the control group consisted of 94 students. The STEAM-based learning module was applied to the students in the experimental group, and the traditional lecture-based approach was applied to students in the control group. The traditional education and intervention lasted eight weeks. The chi-square test and one-way ANOVA were used to analyze the differences and associations between the variables. The results indicated that gender and academic achievement level were the two key factors determining the effectiveness of the STEAM-based learning module. The comparison of the pre-test and post-test scores indicated that the scores of the female students who participated in the module increased the most. This suggested that girls benefited more from the STEAM-based learning module than boys. Further, the lecture-based approach led to a decrease in some high-achieving students. The findings have implications for educational policymakers, curriculum developers, and syllabus designers.","Arpaci, Ibrahim;Muhammed Said Dogru;Kanj, Hassan;Ali, Nawaf;Bahari, Mahadi",10.3390/su15086807,ProQuest
Insights from Bauhaus Innovation for Education and Workplaces in a Post-Pandemic World,"This paper examines Bauhaus School (1919-1933) innovation and relevance today. The School is a landmark in the history of design as a discipline and the development of design education. The School was also a workplace, commercialising Bauhaus-designed products. While drawing global interest in its innovations, the School faced resistance in Germany because it challenged conventions. This problem raises the questions: How did the School-workplace generate innovations amid the calamity of post-war Germany, and what is the significance of the Bauhaus for post-pandemic education and workplaces one hundred years on? The concept of 'transgression' is used to understand innovation at the Bauhaus School-workplace. Haraway discusses transgressive practices that disrupt established knowledges, moving ways of thinking and doing in new directions. Analysis of workplace learning research reveals that three interfacing dimensions make up innovation: (1) workplace environments, (2) the culture-order that facilitates innovation, and (3) learning in practice in authentic settings. This qualitative case study reports on how Bauhaus innovation emerged at the intersection of these key dimensions. There are surprising commonalities between the Bauhaus approach to innovation in challenging times and contemporary thinking about supporting innovation which are relevant to education, particularly STEAM (Science, Technology, Engineering, Arts and Mathematics) education, and workplaces in a world affected by the COVID 19 pandemic. Thus, encouraging people who challenge boundaries, rules or 'the way things are' can support innovation. This paper addresses a gap in workplace learning research on interrelated dimensions of innovation which the Bauhaus recognized. The study also offers an innovative approach to&#xa0;the examination of innovation across time and space whereas most contemporary studies of innovation focus on the present. Further, conceptualizing innovation as transgression offers a new way of thinking about innovation in design and in the workplace.","White-Hancock, Lorraine",10.1007/s10798-022-09729-2,ProQuest
