keyword,match
0,True
1,True
10 minute link-,True
12-year-,True
12-year-olds,True
180 students,True
2,True
2007,True
2010,True
2012,True
2016,True
3,True
5th,True
6th graders,True
6th-,True
7-,True
7th-grade students,True
94 students,True
119,True
306,True
390,True
abstract,True
academic achievement level,True
academic interest,True
academically highest-achieving students improved,True
account,True
acted,True
acting,True
action,True
activities,True
activities included dance/movement,True
activity,True
actual progressive,True
adapted,True
add,True
additionally,True
adopted,True
adornment,True
aerospace,True
affordable construction,True
age 13-14 years,True
aim,True
aiming,True
air conditioning,True
airbus,True
akota star knowledge,True
akota star map,True
align globe tree height data,True
amateur astrophotography,True
amateur radio--,True
american,True
analysis,True
analyze,True
animation department,True
animations,True
animator,True
anova,True
appearance,True
application,True
applied,True
approach,True
ariss,True
ariss uk operations team,True
art,True
art research,True
art students,True
art-science-culture,True
article,True
article describes,True
article examines,True
artistic factor,True
artistic treatment,True
artists,True
arts,True
arts integration,True
asked,True
assess,True
assesses alternatives,True
assessments,True
associations,True
astro-animation,True
astro-animation class,True
astro-animation programme,True
astronomical calendar-paintings,True
astronomy,True
astronomy education,True
astronomy teaching,True
astrophotographs,True
astrophotography,True
astrophysicist,True
asystematic,True
author,True
authors,True
availability,True
awareness,True
backward design,True
backward design approach,True
backyards,True
based,True
begins,True
begun,True
benefit,True
benefitted,True
big screen,True
body,True
boys,True
brain coordinates,True
brazil,True
brazilian teams,True
bridge,True
broadeningboth,True
buck,True
build,True
buildup,True
built,True
called,True
cambridge,True
camera,True
cansats,True
careers,True
carried,True
case,True
catalyst,True
celestial objects,True
central anatolia region,True
changing phases,True
cheap construction materials,True
chi-square test,True
choreographing movement,True
chose materials,True
citizen science,True
citizen science environmental data collection,True
class,True
classroom,True
closely mirrors,True
cloud,True
cognitive learning,True
cognitive learning results,True
collaboration,True
colorado,True
comfort,True
commonly,True
commonly owned,True
communicate,True
communicative,True
compared,True
comparison,True
comparisons,True
competition run,True
complement,True
complementary effort,True
complementary space activities,True
completely consistent,True
comprises,True
conclusion,True
conduct,True
conjunction,True
connections sprung,True
consideration,True
considered,True
construction,True
content,True
content-based intrinsic motivation,True
contributing,True
control group,True
control group consisted,True
control school,True
conversation,True
convey meaning,True
cooling,True
correlated,True
create,True
created,True
creating,True
creating scientific models,True
creation,True
creative interdisciplinary teamwork,True
cubesat program,True
cubesats,True
cubesats originallywere introduced,True
cultural perspectives,True
cultural teaching,True
culture,True
curriculum,True
curriculum developers,True
dance/movement,True
data collection,True
data density,True
data location accuracy,True
debuted,True
decade,True
decrease,True
deep learning outcomes,True
deep learning strategy,True
deeper layers,True
defence,True
delayed test,True
delivers,True
demonstrate,True
demystify,True
depending,True
describe,True
design,True
designed,True
designed systems,True
designs,True
details,True
determination,True
develop,True
develop coherent end-to-endsystem engineering content,True
develop creativity,True
developcurricula,True
development,True
development process,True
develops products,True
device,True
differences,True
digital platforms,True
directions,True
directly helps,True
discourse,True
discover solutions,True
discovery,True
discuss,True
dissemination,True
diverse team,True
document,True
dynamic power,True
earth,True
earth knowledge,True
earth system science,True
educate utilizing cubesat experience,True
education,True
education program,True
educational curriculum,True
educational policymakers,True
educational purposes,True
educators,True
educators collaborate,True
educe,True
educe program meet steam standards,True
effective,True
effective mechanism,True
effectiveness,True
effects,True
elaborated,True
elementary,True
elementary school students,True
emergence,True
emphasis,True
enable learning,True
encourage cultural exchange,True
encourage questioning,True
encouraged,True
end,True
end-to-end design,True
engage students/educators,True
engagement,True
engaging theparticipants,True
engineering,True
engineering practices facilitated,True
enhance,True
enhanced,True
enrichment,True
enthused,True
environment,True
error,True
essentially,True
establish,True
european space agency,True
event,True
ever-changing relationship,True
executed remotely,True
exhibition,True
exhibition learning setting,True
exist,True
expanding,True
expectations,True
expensive equipment,True
experiences,True
experiences undertaking,True
experimental group,True
experimental group consisted,True
experimental study,True
explain,True
explore,True
exploring,True
expose university students,True
express emotion,True
extensive,True
extensive guide,True
extensively,True
facilitate,True
facilitate global education,True
faculty,True
2016-02-01 00:00:00,True
female students,True
fifth-grade teacher,True
final product,True
finally design/implement thelearning activities,True
findings,True
finland,True
focus,True
follow,True
forced,True
formal,True
found,True
foundation amateur radio licences,True
framework,True
full-size,True
functional planetarium,True
gap,True
gawboy,True
gender,True
genders,True
general,True
general public,True
genesis,True
girls,True
girls benefited,True
girls made history,True
glimpse,True
global citizenry,True
global collaboration,True
global ecosystem dynamics investigation instrument,True
global learning,True
globe,True
globe observer,True
globe trees data,True
goal,True
goals,True
grades,True
grand mesa,True
greater helsinki area,True
greater self-awareness,True
greenbelt,True
ground-based citizen science data collected,True
group,True
grow,True
han-wi,True
hands-,True
hanna 2015,True
hasbecome,True
high altitude balloon experiments,True
high-achieving students,True
highlights,True
holistic approach,True
