Title,Abstract,Authors,identifierKeywords,Database,Selection,Selection criteria violation,Flagged to read later
Insights from bauhaus innovation for education and workplaces in a post-pandemic world,"This paper examines Bauhaus School (1919–1933) innovation and relevance today. The School is a landmark in the history of design as a discipline and the development of design education. The School was also a workplace, commercialising Bauhaus-designed products. While drawing global interest in its innovations, the School faced resistance in Germany because it challenged conventions. This problem raises the questions: How did the School-workplace generate innovations amid the calamity of post-war Germany, and what is the significance of the Bauhaus for post-pandemic education and workplaces one hundred years on? The concept of ‘transgression’ is used to understand innovation at the Bauhaus School-workplace. Haraway discusses transgressive practices that disrupt established knowledges, moving ways of thinking and doing in new directions. Analysis of workplace learning research reveals that three interfacing dimensions make up innovation: (1) workplace environments, (2) the culture-order that facilitates innovation, and (3) learning in practice in authentic settings. This qualitative case study reports on how Bauhaus innovation emerged at the intersection of these key dimensions. There are surprising commonalities between the Bauhaus approach to innovation in challenging times and contemporary thinking about supporting innovation which are relevant to education, particularly STEAM (Science, Technology, Engineering, Arts and Mathematics) education, and workplaces in a world affected by the COVID 19 pandemic. Thus, encouraging people who challenge boundaries, rules or ‘the way things are’ can support innovation. This paper addresses a gap in workplace learning research on interrelated dimensions of innovation which the Bauhaus recognized. The study also offers an innovative approach to&#xa0;the examination of innovation across time and space whereas most contemporary studies of innovation focus on the present. Further, conceptualizing innovation as transgression offers a new way of thinking about innovation in design and in the workplace.","White-Hancock, Lorraine","Bauhaus , Design , Innovation , Transdisciplinary , Transgression",Design & Applied Arts Index (DAAI),No,1. Space related,Yes
"RISING Strong: Sustainability through Art, Science, and Collective Community Action","The objective of this research is to offer a qualitative analysis of adult STEAM (science, technology, engineering, the arts and mathematics) learning in a community setting, with a focus on sustainability and climate action. To date, much research on STEAM learning has been directed towards youth and children in formal educational settings. Our qualitative study involving semi-structured interviews with community participants, artists, and scientists over the course of a six-month initiative in Ireland allowed us to develop a rich picture of a multi-faceted STEAM project that held space for both a social change agenda and a learning agenda. In our findings, we identified several contributing factors to transformative learning and changed feelings about climate change, including pride of place, the development of strong interpersonal relationships, and an emerging sense of collective agency through a shared emotional and affective journey. To design for meaningful, community-level climate action, we argue that learning may be supported in, with and through STEAM. Our study also showcases the value of the arts and aesthetic experiences to embrace dissensus when tackling a complex issue like climate change through STEAM education.","Hurley, Mairéad;Roche, Joseph","STEAM education , climate , environmental education , equity , justice , informal learning , non-formal learning , place-based knowledge , science communication","Coronavirus Research Database, Publicly Available Content Database",No,1. Space related,Yes
STEM to STEAM: Effect of Visual Art Integration on Long-Term Retention of Science Content,"The current focus on STEM education is based on the idea that science, technology, engineering and math be taught in an interdisciplinary and applied approach in grades K-12. There is growing attention to integrating the arts as an equal partner to STEM learning (STEAM). The purpose of this cluster random sample experimental study was to examine the effect of visual art instruction, specifically drawing, on long-term retention of science content. Fifty-five fifth and sixth grade students participated in this study, 31 in the experimental group and 24 in the control group. Both groups received instruction based on a modified science lesson developed by Arizona State University in cooperation with the National Aeronautics and Space Administration. The experimental group received instruction on art techniques to be used for drawing and the development of visual notes while the control group used traditional note taking and writing. A delayed post-test revealed that the drawing group scored significantly higher for retention of content. Implications for authentic arts integration revealed by this study suggest that the arts play a significant role in learning and content retention in art and science. More significantly, the participants in this study were at the level of proficiency and labeled gifted (minimum IQ of 130), demonstrating that arts integration is effective with a more diverse population than marginalized students studied in previously investigations.","Rosen-O'Leary, Robin;Thompson, Eustace G.","Elementary Education , Grade 5 , Intermediate Grades , Middle Schools , Grade 6",ERIC,No,1. Space related,Yes
From Interdisciplinary to Transdisciplinary: An Arts-Integrated Approach to STEAM Education,"What should science, technology, engineering, art, and math (STEAM) education look like? In the context of educational policy, the STEAM conversation has intensified and spread across the United States and some other counties (Eger, 2015; Yakman &amp; Lee, 2012). This article advocates an arts-integrated approach to STEAM education and discusses the potential of this approach for opening up a transdisciplinary space. This space will therefore be capable of fostering an ""innovated"" society. Here, the author suggests that teachers can create a transdisciplinary space in their own STEAM lessons by designing assignments that engage with multiple disciplines and thereby nourish students' ability in transferring learning in multiple disciplines.","Liao, Christine",,ERIC,No,1. Space related,Yes
Educate Utilizing CubeSat Experience: Unified K-20 Vision of Comprehensive STEAM-Powered Space Systems Education Program,"Educate Utilizing CubeSat Experience: Unified K-20 Vision of Comprehensive STEAM-Powered Space Systems Education ProgramEducate Utilizing CubeSat Experience (EdUCE) debuted in 2010 as a K-20 Science,Technology, Engineering, and Mathematics (STEM) education program using space-derivedactivities with an emphasis on design and development of CubeSats. CubeSats originallywere introduced to train and expose university students and faculty to holistic spacecraftresearch and development. Recently, the inclusion of the Arts (resulting in STEAM) hasbecome a complementary effort to engage students/educators in activities and to motivateinnovation in Systems Engineering curriculum. This paper discusses a new systematicapproach which (i) utilizes a Backward Design approach to develop coherent end-to-endsystem engineering content and (ii) delivers this content through state-of-the-art digitalplatforms. Specifically, the following hypothesis-driven questions are investigated: • How does the design of the EdUCE program meet STEAM standards and expectations? • How is Systems Engineering (in particular design and development of CubeSats) correlated to the Backward Design approach that is adopted in educational curriculum? • How to use the arts to complement the understanding of STEM concepts with a focus on Systems Engineering? • How are digital platforms (i.e., interactive books, Web 2.0 and mobile apps) paired with hands-on activities an effective mechanism to enable learning? • What best practices have been targeted and implemented for dissemination of EdUCE?Backward Design approach is a tool used in elementary and secondary education to developcurricula and teaching lessons which involves the following phases: (1) determination of thelearning outcomes, (2) development of the assessments, and (3) design of the learningexperience; essentially, the process has the end in mind by first, identify the learning goals,next identify the metrics required to measure success, then finally design/implement thelearning activities to meet these goals, thus creating a systematic path. The SystemsEngineering process shares lots of parallelisms with Backward Design; it begins with a need(i.e., objective), assesses alternatives and designs and develops products and activities (i.e.,verification and validation, operations, sustainment, and retirement) to satisfy the need in asystematic way.Via this approach, educators and techinical subject matter experts collaborate in thedevelopment process and manage age appropriate curriculum, thus unifying and broadeningboth the number and quality of K-20 participants worldwide. To demonstrate, an example ofengaging curriculum is presented. The end-to-end design and development process and thelife experiences from a CubeSat program are the major contributing factors in engaging theparticipants, however, complementary space activities, such as microgravity experiments,high altitude balloon experiments, and CanSats are included. Additionally, this is integratedwith the use of digital platforms to increase the awareness and the emphasis on STEAM.","Shiotani, Bungo;Buckley, Dante Augustus;Bumbaco, Amy Elizabeth;Fitz-Coy, Norman G",,Publicly Available Content Database,Yes,,Yes
“Some Angles Are Gonna Be Weird”: Tinkering with Math and Weaving,"It has been argued that much of how math is taught in schools aligns with a particular epistemology that comes from western mathematicians and philosophers, potentially leading to an undervaluing of diverse skills and abilities. Tinkering, a common STEAM practice, is one way of participating that does not necessarily involve a straightforward path from problem to solution; rather, tinkering may be non-linear, and involve movement back and forth between known and new solutions. This process is not always supported or encouraged in traditional mathematics spaces but may be more available through activities such as crafting. This study examines a weaving workshop with middle-school students, asking the question: When and how do learners tinker in mathematical ways as they learn to weave? Video data were analyzed using qualitative techniques and perspectives informed by interaction analysis and other multimodal analytic techniques. Findings show that youth could be seen tinkering in the workshops in the forms of “negotiating and renegotiating with materials” and “trying unexpected solutions.” Examples from two focal cases break these tinkering forms down in deeper detail and showcase the mathematical engagement made possible by the space to tinker. This work sparks possibilities for designing math learning spaces that honor youths’ personally meaningful ways of doing and being both through the materials used and the practices encouraged.","Thompson, Naomi","tinkering , crafting , mathematics , STEAM , constructionism",Publicly Available Content Database,No,1. Space related,
A Study of Pre-Algebra Learning in the Context of a Computer Game-Making Course,"A Study of Pre-Algebra Learning in the Context of a Computer Game-Making Course Blind SubmissionAbstractIn this paper, we report the outcomes of the first implementation of [a new pre-algebra learningcurriculum based on game design]. The curriculum is the result of a National Science Foundation[program] grant to explore novel ways to teach standards-based content and 21st century skill tounderperforming high school students in Los Angeles. The project’s goals are to addressretention, career education and secondary mathematics learning. Game design is being used toengage students and to provide a grounding context for the mathematics. The effort is meetingthe challenge of teaching math across the curriculum and is leading to the development of newstrategies to embed mathematics in authentic contexts.PedagogyLearning in the context of computer game making is best framed by the philosophy ofConstructionism, which is the idea that learning is most effective when part of an activity thelearner experiences as constructing a meaningful product (Papert, 1987; also Kafai, 2008).Following a recent trend in STEM education, the program uses a STEM to STEAM (Science,Technology, Engineering, Art, and Mathematics) approach to learning, which is the practice ofintegrating art and/or design with traditional STEM learning to increase interest and impact(Maeda, 2013). The importance of the practice is being recognized at high levels (Bonamici,2013).MethodologyDuring the fall of 2011, fifty students participated in a pilot program to study mathematicslearning in the context of making computer games. During class students created two differentgames – a maze game (e.g. PacMan) and a shooting scroller game (e.g. Space Invaders). Eachgame exercised a different set of mathematical concepts. Game making classes were interspersedwith activities that involved mathematics directly, for example, including doing worksheets andplaying math games; or indirectly, for example, manipulating math concepts that occurred whilemaking games. Students took short self-quizzes after each step of the game making process toreinforce concepts. Pre and post math tests were administered before and after students createdgames. The results of learning gains from pre-test to post-test are reported on here.ResultsData from pre and post tests were analyzed The highest learning gains for the maze gameoccurred in graphing and rates concepts, as well as fractions, percentages and factors. Thehighest for the shooter game occurred in the average, length, percent and probability calculations.[Extra Page for Figures and References]ResultsFigure 1 Maze test (top) and shooter test (bottom) results. Maze Pre Post Test Maze Pre Post Test Results Results100% 100% 0% 0% Q9 Q5 Q7 Q8 Q6 Q4 Q3 Q2 Q1 Q9 4 5 3 7 2 8 1 6 Q Q Q Q Q Q Q Q (Pre) correct (Pre) correct percent Scroller Pre Post Test Scroller Pre Post Test Results Results150% 150%100% 100% 50% 50% 0% 0% Q5Q8Q3Q4Q6Q2Q7Q1 Q5Q8Q3Q4Q6Q2Q7Q1 (Pre) correct (Pre) correct percent (Post) correct (Post) correct percent ReferencesBonamici, S. (2013) “Congresswoman Bonamici Asks about the Importance of STEAMEducation”, Hearing of the U.S. House Committee on Science, Space and Technology, Hearingentitled “American Competitiveness: The Role of Research and Development. Available athttp://www.youtube.com/watch?v=GU425V3NSkE.Maeda, John (2013) “STEM + Art = STEAM”, The STEAM Journal: Vol. 1, Iss. 1, Article 34.Available at: http://scholarship.claremont.edu/steam/vol1/iss1/34","Shaw, Erin;Kim, Jihie;Xing, Zinan",,Publicly Available Content Database,No,4. Duplication,
A Study of Thermoelectric Generation Coupled with Methanol Steam Reforming for Hydrogen Production,"Waste heat recovery was considered as a promising candidate for energy conservation and emission reduction. Methanol steam reforming was considered to be an effective means for hydrogen production because of its advantages. In this work, a micro reactor was constructed and thermoelectric generation coupled with hydrogen production from methanol steam reforming was innovatively used to recycle waste heat, which was simulated by hot air from a hot air gun. The waste heat was converted into electricity and hydrogen at the same time. The characteristic of thermoelectric generation coupled with methanol steam reforming was investigated. It was experimentally verified that both the hydrogen production rate and methanol conversion increased with the increasing inlet temperature, but thermal efficiency increased firstly and then decreased with the increasing temperature. The methanol steam reforming could effectively maintain cold side temperature distribution of thermoelectric generation. In the case of the thermoelectric module (1), the highest temperature difference of 37 °C was determined and the maximum open circuit voltage of 2 V was observed. The highest methanol conversion of 64.26% was achieved at a space velocity of 0.98 h −1 when the temperature was 543 K, comprehensively considering the CO content and thermal efficiency.","Wang, Guoqiang;Wang, Feng;Guan, Delun","energy conversion , hydrogen energy , methanol steam reforming , thermal management and control , waste heat recovery",Publicly Available Content Database,No,1. Space related,
Architectural and planning principles of STEAM-space organization,"The article discusses the issue of organizing the educational space for the implementation of STEAM technology. The purpose of the article is to reveal the features of STEAM learning and to formulate the principles of organizing the learning space for this type of learning. On the topic of the research, a brief overview of the implemented architectural projects of educational spaces using STEAM technology was carried out. As a result, the authors identified architectural and planning features and principles of organizing spaces for STEAM training and created a model of an art and technology lyceum using the obtained principles for organizing a block of informatics and 3D modelling.","Morozova, O V;Dukhanina, E S",,Publicly Available Content Database,No,1. Space related,
Cases on Models and Methods for STEAM Education. Advances in Educational Technologies and Instructional Design (AETID) Book Series,"STEAM education can be described in two ways. One model emphasizes the arts and is not as concerned about the accuracy of the STEM fields. In the second model, STEM content is the prevailing force with a focus on accuracy, and the arts are used in limited and secondary resources for the teaching of the content. However, in order to promote creative thinking, allow for higher student engagement, and offer a more well-rounded education, a STEAM model, where science, technology, engineering, arts, and mathematics are equal contributors to the process of learning, is needed. ""Cases on Models and Methods for STEAM Education"" is an important scholarly resource that provides inclusive models and case studies highlighting best techniques and practices for implementing STEAM models in teaching and assists teachers as they learn to use such methods through the inclusion of practical activities for use in the classroom. Highlighting a wide range of topics such as science education, fine arts, and teaching models, this book is essential for educators, administrators, curriculum developers, instructional designers, policymakers, academicians, researchers, and students. This book contains the following chapters: (1) Musing on Unanswered Questions (Meta Lee Van Sickle and Merrie Koester); (2) Graphic Novels and STEAM: Strategies and Texts for Utilization in STEAM Education -- Graphic Novels and STEAM (Alex Romagnoli); (3) High-Quality Trade Books and Content Areas: Planning Accordingly for Rich Instruction (Carolyn A. Groff); (4) Theater as the STEAM Engine for Engaging Those Previously Disengaged (Paul C. Jablon); (5) Exploring Simple Machines With Creative Movement (William Paul Lindquist, Martha James-Hassan, and Nathan C. Lindquist); (6) Getting to ""Know"" STEAM (Merrie Koester); (7) Tower Design, Build and Test as a STEAM Project: Tower Design, Build, and Test (Judith Bazler); (8) The Great Race: Using Air to Move Paper Airplanes and Balloon Rockets (Jena Valdiviezo and Letitia Graybill); (9) Bee Pollination (Kerry Carley Rizzuto, John Henning, and Catherine Duckett); (10) Cases on STEAM Education in Practice Catapults and History of Catapults (Warren James DiBiase, Judith R. McDonald, and Kellan Strong); (11) A Mathematical Approach to Designing Insulators (Kathryn Electa Pedings-Behling); (12) Engineering and Art: Putting the EA in STEAM (Sara B. Smith); (13) Developing and Applying the Law of Cosines: Using Star Maps as a Context (Vecihi S. Zambak and Budi Mulyono); (14) Using STEAM in Marine Science: Incorporating Graphic Design Into an Existing STEM Lesson (Callie Dollahon); (15) ""Imagioneering"" a New Mission: Space (Kyle Seiverd); and (16) Differentiating Instruction in the Forensics Classroom (Tracy L. Mulvaney and Kathryn L. Lubniewski).",,"Administrators , Teachers , Policymakers , Researchers , Students",ERIC,No,2. STEAM educational project,
